pub_year,13734 - Advanced Computational Techniques and Appl,12157 - Geochemistry and Geologic Mapping,10181 - Natural Language Processing Techniques,10320 - Neural Networks and Applications,10215 - Semantic Web and Ontologies,13559 - Edcuational Technology Systems,10028 - Topic Modeling,10020 - Quantum Information and Cryptography,13623 - Linguistic Studies and Language Acquisitio,11512 - Anomaly Detection Techniques and Applicati,10201 - Speech Recognition and Synthesis,11269 - Algorithms and Data Compression,10711 - Target Tracking and Data Fusion in Sensor ,11130 - Coding theory and cryptography,10100 - Metaheuristic Optimization Algorithms Rese,10639 - Advanced Software Engineering Methodologie,10682 - Quantum Computing Algorithms and Architect,13018 - Seismology and Earthquake Studies,13083 - Advanced Text Analysis Techniques,"11010 - Logic, Reasoning, and Knowledge",10862 - AI in cancer detection,11276 - Solar Radiation and Photovoltaics,10237 - Cryptography and Data Security,12031 - Speech and dialogue systems,"10126 - Logic, programming, and type systems",10820 - Fuzzy Logic and Control Systems,11598 - Internet Traffic Analysis and Secure E-vot,11975 - Evolutionary Algorithms and Applications,10764 - Privacy-Preserving Technologies in Data,13650 - Computational Physics and Python Applicati
1975,0.16621401412275938,1.0,0.33460076045627374,0.5013579576317219,0.22270505160239001,0.0,0.045084193373166756,0.14937533948940793,0.22705051602390006,0.023900054318305268,0.1618685497012493,0.2362846279196089,0.2178164041281912,0.2542096686583379,0.027702335687126562,0.042368278109722976,0.057034220532319393,0.2542096686583379,0.10537751222161869,0.20586637696903856,0.034220532319391636,0.16784356328082564,0.010320478001086366,0.1683867463335144,0.27159152634437805,0.044541010320478004,0.011406844106463879,0.06789788158609451,0.007061379684953829,0.2558392178164041
1976,0.13237410071942446,1.0,0.27817745803357313,0.4067146282973621,0.19520383693045565,0.0,0.02973621103117506,0.13525179856115108,0.19328537170263788,0.011990407673860911,0.1328537170263789,0.20959232613908874,0.16594724220623502,0.22637889688249402,0.031654676258992806,0.056594724220623505,0.04220623501199041,0.2633093525179856,0.07625899280575539,0.17985611510791366,0.03501199040767386,0.18705035971223022,0.0014388489208633094,0.11510791366906475,0.28249400479616305,0.05995203836930456,0.007194244604316547,0.05611510791366906,0.002398081534772182,0.1985611510791367
1977,0.13330279431974348,1.0,0.30829134218964727,0.4163994502977554,0.21667430142006414,0.0009161704076958314,0.04443426477324782,0.1282638570774164,0.22400366468163077,0.014200641319285386,0.11864406779661017,0.19102153000458086,0.1749885478699038,0.20201557489693084,0.027943197434722858,0.053595968850206135,0.038021071919377,0.23087494273934953,0.07512597343105817,0.17911131470453504,0.03160787906550618,0.19422812643151627,0.0018323408153916628,0.14475492441594137,0.3032524049473202,0.062299587723316535,0.001374255611543747,0.05634448007329363,0.0,0.23224919835089328
1978,0.12598081952920662,1.0,0.2999128160418483,0.43766346992153443,0.18352223190932868,0.0,0.03923278116826504,0.13687881429816914,0.2244986922406277,0.014821272885789015,0.12598081952920662,0.2118570183086312,0.15344376634699217,0.21490845684394072,0.026155187445510025,0.06800348735832606,0.03356582388840453,0.24106364428945073,0.06495204882301657,0.16303400174367916,0.03530950305143853,0.18003487358326067,0.011769834350479512,0.11944202266782912,0.25108979947689625,0.04838709677419355,0.004795117698343505,0.04010462074978204,0.003051438535309503,0.17349607672188316
1979,0.1177375913813005,1.0,0.26471719892266254,0.3501346671796845,0.20777222008464794,0.0,0.039245863793766836,0.11581377452866487,0.19622931896883417,0.011542901115813775,0.10388611004232397,0.17968449403616776,0.15467487495190457,0.16275490573297421,0.022316275490573297,0.05848403232012313,0.032320123124278566,0.2431704501731435,0.07810696421700654,0.17275875336667948,0.040400153905348214,0.17776067718353214,0.00923432089265102,0.12774143901500576,0.24663332050788764,0.053866871873797614,0.004232397075798384,0.04886494805694498,0.0030781069642170067,0.1685263562908811
1980,0.13816280806572068,1.0,0.2837938760268857,0.351008215085885,0.26138909634055263,0.0,0.043315907393577296,0.12135922330097088,0.20799103808812547,0.013069454817027632,0.11725168035847648,0.19678864824495892,0.13517550410754295,0.1796116504854369,0.015309932785660941,0.07617625093353249,0.03472740851381628,0.22218073188946974,0.08140403286034353,0.19156086631814787,0.03472740851381628,0.17251680358476476,0.006721433905899925,0.14525765496639284,0.26549663928304706,0.06310679611650485,0.005601194921583271,0.05526512322628827,0.0026138909634055266,0.16392830470500375
1981,0.1362629246676514,1.0,0.3124076809453471,0.3419497784342688,0.22341211225997046,0.0,0.03877400295420975,0.1240768094534712,0.20642540620384048,0.019202363367799114,0.12370753323485968,0.2119645494830133,0.1395864106351551,0.17872968980797638,0.022156573116691284,0.07533234859675036,0.03360413589364845,0.22341211225997046,0.06646971935007386,0.16469719350073855,0.04172821270310192,0.21639586410635156,0.00812407680945347,0.1207533234859675,0.24630723781388478,0.05428360413589365,0.005908419497784343,0.04615952732644018,0.00036927621861152144,0.16838995568685378
1982,0.1387626703949668,1.0,0.32541069556099267,0.3460328556448794,0.2663404404054526,0.0003495281370150297,0.043691017126878715,0.11779098217406501,0.21006641034603285,0.01083537224746592,0.12792729814750087,0.2222998951415589,0.15204473960153791,0.18105557497378538,0.015029709891646278,0.09332401258301293,0.03145753233135267,0.20027962250961204,0.07444949318420133,0.17825934987766515,0.04718629849702901,0.16392869626004894,0.015728766165676335,0.1387626703949668,0.2666899685424677,0.05347780496329955,0.004893393918210416,0.04578818594896889,0.0,0.17825934987766515
1983,0.13697286694998365,1.0,0.3069630598234717,0.34717227852239296,0.2942137953579601,0.0032690421706440013,0.041189931350114416,0.12422360248447205,0.2154298790454397,0.014383785550833606,0.12160836874795684,0.20725727361882967,0.13828048381824126,0.17358613926119648,0.019941157240928407,0.08270676691729323,0.03040209218698921,0.2186989212160837,0.07584177835894083,0.21216083687479567,0.04772801569140242,0.17456685191238966,0.016672115070284408,0.13566525008172606,0.2693690748610657,0.06668846028113763,0.0032690421706440013,0.04642039882314482,0.0,0.16770186335403728
1984,0.15691651432053627,1.0,0.33455210237659966,0.3241925655088361,0.30316879951249237,0.006398537477148081,0.043266301035953685,0.14076782449725778,0.2017062766605728,0.015234613040828763,0.12705667276051189,0.19804996953077392,0.11273613650213285,0.1797684338817794,0.025289457647775748,0.08287629494210846,0.02894576477757465,0.20353443022547227,0.07038391224862889,0.21724558196221816,0.032602071907373555,0.14716636197440586,0.016453382084095063,0.13589274832419257,0.27696526508226693,0.061243144424131625,0.007312614259597806,0.05240706886045095,0.0,0.15447897623400367
1985,0.15891959798994976,1.0,0.3203517587939699,0.3787688442211055,0.3238065326633166,0.0,0.03863065326633166,0.15483668341708542,0.208856783919598,0.01350502512562814,0.12028894472361809,0.22330402010050251,0.1510678391959799,0.18435929648241206,0.02669597989949749,0.10835427135678392,0.026381909547738693,0.2185929648241206,0.06595477386934673,0.23775125628140703,0.03925879396984925,0.14792713567839197,0.027324120603015076,0.12939698492462312,0.29585427135678394,0.0678391959798995,0.0043969849246231155,0.055904522613065326,0.0009422110552763819,0.18373115577889448
1986,0.1856397667996318,1.0,0.4016569499846579,0.42835225529303467,0.4062595888309297,0.0,0.05492482356551089,0.18226449831236577,0.22031297944154649,0.014114759128567045,0.1307149432341209,0.25099723841669225,0.12089598036207426,0.18318502608162013,0.026081620128873887,0.10862227677201595,0.03651426818042344,0.20988033138999693,0.06597115679656336,0.28290886775084384,0.038969008898435104,0.13010125805461797,0.016262657256827247,0.15280760969622584,0.33261736729057995,0.07425590671985272,0.00245474071801166,0.06320957348880024,0.00122737035900583,0.1926971463639153
1987,0.20861022825772899,1.0,0.37705865356833285,0.5082346142733314,0.4391794279110084,0.0037561398439757295,0.047385148800924586,0.1930078012135221,0.2551285755561976,0.02455937590291823,0.17307136665703554,0.25223923721467784,0.13377636521236635,0.19416353655013002,0.04189540595203698,0.1262640855244149,0.041606472117885006,0.22450158913608784,0.06472117885004335,0.31031493787922565,0.05171915631320428,0.12453048251950304,0.037272464605605314,0.17393816815949148,0.3348743137821439,0.09216989309448137,0.005778676683039584,0.08292401040161802,0.0,0.20543195608205722
1988,0.22005813953488373,1.0,0.4322674418604651,0.6529069767441861,0.4933139534883721,0.0034883720930232558,0.06017441860465116,0.19912790697674418,0.2502906976744186,0.014244186046511629,0.17936046511627907,0.2877906976744186,0.1377906976744186,0.21017441860465116,0.04040697674418604,0.17005813953488372,0.03691860465116279,0.20203488372093023,0.07529069767441861,0.3633720930232558,0.05930232558139535,0.13517441860465115,0.02877906976744186,0.18604651162790697,0.4136627906976744,0.1296511627906977,0.003197674418604651,0.08052325581395349,0.0,0.21075581395348839
1989,0.2328767123287671,1.0,0.4616729816380064,0.8023899737685806,0.5345380355581463,0.0,0.07461381521422326,0.20373069076071115,0.2556106091518508,0.019527834450597494,0.23025357038764208,0.313028271640921,0.15738851646750218,0.22180122413290587,0.0469250947245701,0.18361993587875255,0.0454677936461673,0.2092684348586418,0.07169921305741767,0.3576216846400466,0.05129699795977849,0.10813174001748761,0.032060623724861556,0.21597201981929467,0.41737102885456134,0.14048382395802972,0.004080443019527835,0.07840279801807053,0.001457301078402798,0.2287962693092393
1990,0.24233458848843464,1.0,0.5051102743410436,0.8770844540075309,0.563743948359333,0.0,0.07396449704142012,0.2221624529316837,0.2719203873050027,0.019096288327057558,0.23480365788058097,0.29182356105433027,0.17401828940290479,0.22781065088757396,0.05244755244755245,0.1495427649273803,0.04088219472834857,0.23587950511027433,0.07907477138246369,0.3668639053254438,0.06616460462614308,0.12345346960731576,0.040075309306078534,0.22054868208714362,0.41662183969876276,0.17455621301775148,0.005917159763313609,0.09951586874663798,0.0010758472296933835,0.22350726196880044
1991,0.24486803519061584,0.8663245356793744,0.46114369501466274,1.0,0.5232160312805474,0.005376344086021506,0.0760019550342131,0.22140762463343108,0.25268817204301075,0.024926686217008796,0.2421798631476051,0.3184261974584555,0.17839687194525905,0.21212121212121213,0.06500488758553274,0.15224828934506354,0.04423264907135875,0.22678396871945258,0.07526881720430108,0.3902737047898338,0.05474095796676442,0.10532746823069404,0.03372434017595308,0.1989247311827957,0.3919843597262952,0.22116324535679374,0.009286412512218964,0.08993157380254155,0.0,0.1972140762463343
1992,0.2349286700414174,0.849286700414174,0.4917165209387943,1.0,0.5303727565577543,0.0006902899217671422,0.09986194201564658,0.24873446847676023,0.2641509433962264,0.024390243902439025,0.22871606074551312,0.3219052001840773,0.16290842153704557,0.23239760699493786,0.06695812241141279,0.18223653934652553,0.041187298665439485,0.19949378739070409,0.06833870225494708,0.3936953520478601,0.08145421076852279,0.09963184537505752,0.03796594569719282,0.21859180855959504,0.4033594109526001,0.25402669121030835,0.007823285780027611,0.10791532443626323,0.0,0.20478601012425218
1993,0.25355667737494264,0.9598439651216154,0.5036714089031666,1.0,0.5803120697567692,0.0048187241854061496,0.08650757228086278,0.26135842129417164,0.2650298301973382,0.03143643873336393,0.23795318953648462,0.33478659935750343,0.1622303809086737,0.23611748508490132,0.08421294171638366,0.16291877007801744,0.05277650298301973,0.22625057365764112,0.06975676916016521,0.4442404772831574,0.08122992198256081,0.0984396512161542,0.050711335474988524,0.2218907755851308,0.4116567232675539,0.2737494263423589,0.011243689765947683,0.10371730151445617,0.0,0.21385956860945388
1994,0.23131890567578603,0.7739893834218048,0.5228664761126991,1.0,0.5283789301755819,0.002654144548795427,0.09759085340955492,0.2111065741118824,0.2772560228664761,0.02143732135565537,0.23417721518987342,0.32850142915475705,0.13352388730093917,0.22008983258472847,0.0847284605961617,0.15475704369130258,0.040220498162515314,0.1917109024091466,0.0675786035116374,0.3926092282564312,0.06227031441404655,0.09126173948550428,0.04430379746835443,0.22784810126582278,0.3772968558595345,0.277868517762352,0.010820743160473663,0.11902817476521028,0.0,0.18721927317272355
1995,0.24123755949805278,0.87559498052791,0.4958892254435309,1.0,0.592384249242752,0.003028991778450887,0.08632626568585028,0.24037213327563825,0.31306793595845955,0.029640848117697967,0.2269580268282129,0.33989614885331026,0.14560796192124623,0.24881003894418,0.11185633924707919,0.1735179575941151,0.05387278234530506,0.25227174383383816,0.06771960190393769,0.42752055387278237,0.09086975335352661,0.11228905235828646,0.05149286023366508,0.20186066637819125,0.41453916053656426,0.2810471657291216,0.015577672003461706,0.13911726525313717,0.0,0.22284725227174385
1996,0.25075467900986115,0.82249949688066,0.5665123767357617,1.0,0.5693298450392433,0.0006037432078889113,0.10605755685248541,0.2680619843026766,0.3344737371704568,0.026564701147112096,0.23767357617226806,0.3326625075467901,0.15214328838800564,0.23646608975649025,0.11833366874622661,0.18716039444556248,0.07204668947474341,0.23203863956530488,0.07325417589052123,0.39364057154357013,0.10223384986918897,0.10686254779633729,0.05896558663715033,0.21654256389615617,0.36727711813242103,0.29623666733749243,0.022539746427852687,0.14852082914067216,0.0,0.2020527269068223
