pub_year,1312 - Molecular Biology,1110 - Plant Science,1311 - Genetics,1106 - Food Science,"1105 - Ecology, Evolution, Behavior and Systematic",2403 - Immunology,2805 - Cognitive Neuroscience,2804 - Cellular and Molecular Neuroscience,1307 - Cell Biology,1306 - Cancer Research,1100 - General Agricultural and Biological Science,1109 - Insect Science,1102 - Agronomy and Crop Science,1111 - Soil Science,1103 - Animal Science and Zoology,3004 - Pharmacology,1305 - Biotechnology,2808 - Neurology,1104 - Aquatic Science,1303 - Biochemistry,1308 - Clinical Biochemistry,3003 - Pharmaceutical Science,2404 - Microbiology,2405 - Parasitology,2807 - Endocrine and Autonomic Systems,1107 - Forestry,1304 - Biophysics,1310 - Endocrinology,2406 - Virology,1313 - Molecular Medicine
1975,58914,25449,22117,8961,14902,10729,7461,10157,10202,5017,4649,6531,5353,2285,6868,4729,3859,3983,2487,6070,6025,7084,2658,2838,2546,1238,2732,2180,824,800
1976,58905,26607,22572,8774,15406,11237,7825,11103,10243,5234,4734,6991,5589,2624,7007,4986,3808,4056,2734,6059,6063,6899,2825,3051,2649,1305,2734,2180,834,910
1977,61718,28259,23696,9384,16219,12375,8352,11761,11033,5777,4926,7300,5637,2812,7149,5123,3966,4192,2846,6381,6266,6692,2966,3068,2815,1341,2753,2347,948,996
1978,65249,29490,24634,9821,16758,12975,8870,12573,11598,6351,5013,7495,5752,2853,7562,5462,4334,4344,2978,6562,6462,6928,3091,3187,3035,1461,2800,2375,966,1019
1979,67557,30933,25424,10196,17836,13660,9203,13969,11525,6700,5186,7775,6206,3219,7542,5454,4406,4443,3051,6686,6350,6735,3256,3299,3200,1507,2882,2527,967,1170
1980,74655,54970,30211,14828,23699,14291,9547,14795,13967,7178,10197,11490,15975,6472,10970,5996,4913,4497,3779,7018,6607,6859,3777,4415,3537,2576,2870,2908,1075,1232
1981,75061,34511,26830,11104,19171,15201,9971,15727,13034,7756,5543,8420,6709,3677,8260,6055,4968,4682,3425,7234,6737,6900,3530,3599,3740,1819,3175,2744,1026,1376
1982,78825,36121,27915,11504,19253,16252,10218,16638,13744,8037,5673,8823,7170,4006,8370,6365,5042,4777,3647,7285,6696,6917,3840,3611,3743,1846,3188,2800,1045,1421
1983,80765,37565,28070,12008,20115,17029,10695,17639,14020,8405,5622,9153,7356,4129,8241,6522,5381,4934,3598,7141,6753,6901,4056,3798,3893,1971,3215,2907,1039,1541
1984,85501,40181,29362,12201,21426,17627,11161,18290,14533,8940,5911,9604,8054,4396,8833,6807,5479,4814,3903,7679,6857,7056,4093,4117,4264,1948,3393,2942,1116,1574
1985,89870,40182,30817,12930,21959,19769,11750,19545,14834,9449,6173,9865,8232,4748,8894,6919,6041,5322,4132,7670,7066,7419,4328,3939,4466,2080,3444,2999,1375,1740
1986,93552,43260,31943,13484,23341,20790,12092,20418,15970,10030,6902,10596,8883,5058,9017,7207,6278,5537,4390,8053,7120,6734,4400,4219,4578,2381,3622,3088,1525,1790
1987,97935,43708,33525,13469,23401,22047,12643,21452,16104,10427,6855,10922,8795,5151,9213,7317,6790,5970,4374,8242,7236,6578,4694,4480,4755,2330,3577,3234,2142,1701
1988,101572,46371,34417,14134,23779,22805,13053,22316,16721,10624,7388,11067,9309,5481,9341,7525,7351,6119,4344,8094,7234,6507,4863,4509,4893,2413,3840,3359,2961,1707
1989,106234,47782,36535,14697,24114,23919,13846,23258,17450,11364,7340,11436,9420,5635,9410,7618,7653,6133,4606,8042,7210,6804,4871,4757,5101,2482,4054,3464,3209,1872
1990,117662,72438,42328,20565,31437,24923,15183,25350,19585,11988,12216,15685,18231,9617,12362,8099,8648,6773,5034,8928,7558,6943,5506,5697,5387,3716,4265,3894,3915,1803
1991,114876,51025,38874,15992,25659,25622,15175,25032,18403,11815,7913,12035,9887,5967,9470,7919,8500,6667,4830,8336,6980,6483,5268,5031,5209,2624,4315,3765,3942,1849
1992,120058,56757,39420,17048,26498,25314,16018,26812,19095,12421,8459,12374,10178,6603,9794,7942,8361,6703,4964,8508,7040,6257,5225,5177,5544,2895,4663,3855,4159,1918
1993,123146,59310,40489,18485,27576,26916,16254,25829,19330,12771,8801,12536,10506,7142,10053,7806,8928,6659,5327,8162,6994,6167,5266,5208,5431,3105,4875,3771,4277,1950
1994,130091,62942,42954,19182,28613,28299,16975,27503,20473,13940,9522,13164,10813,7405,9958,8150,9348,7045,5505,8598,6961,6232,5329,5202,5900,3245,4894,4147,4424,1915
1995,135693,64734,44842,20292,29133,29732,18178,28619,21071,14465,9547,13489,11227,8012,10332,8741,9986,7641,6014,9044,7220,6297,5503,5464,6054,3399,5190,4308,4810,2090
1996,144637,67944,47789,21827,31019,30842,20672,30255,22130,15797,9802,14146,11157,8227,10413,9003,10365,8029,6473,8925,7479,6545,5689,5714,6622,4027,5493,4183,4944,2134
1997,146897,68427,48728,22478,31102,32681,21574,30511,22576,16813,10387,14052,11820,8966,10836,8852,10406,8726,6497,8982,7386,6334,6057,5898,7095,3911,5567,4572,5319,2326
1998,152466,72786,50718,25000,32888,32619,22394,30252,23649,16920,11069,15023,11904,9479,11399,9584,10955,8622,6988,9287,7346,6293,6042,6657,7586,4271,5990,4593,5707,2550
1999,156160,73764,51816,25889,33150,32884,23043,30344,23888,17678,11620,15060,12197,9841,11482,9532,11128,8746,6768,9058,7456,6098,6395,6213,7703,4386,5898,4571,5467,2745
2000,172743,101838,60691,32665,41656,35940,25815,31837,26757,19773,16812,19889,19134,14523,14827,11279,12848,10070,7988,9461,7620,6169,7572,7479,7905,5742,6170,5208,6060,2999
2001,174567,88407,59586,30604,38284,36364,26345,29908,25619,21081,14427,17175,15406,13674,12865,12343,13001,10223,7823,8932,7721,6212,7214,7259,8070,5312,6185,5285,5899,3083
2002,186185,94224,62451,34887,40905,37330,32098,32527,27453,21697,15575,18683,15590,13994,13961,13288,14047,11436,8239,9322,8012,6667,7560,7236,8249,5725,7569,5740,5926,3391
2003,201534,98533,66860,37377,42751,41050,32790,33628,29166,24304,16144,19369,16324,14537,15089,15088,15310,12768,8808,9776,8336,6863,8160,7750,9059,6215,7718,5977,6240,3769
2004,219267,107460,72821,41093,45686,45000,35845,34172,31517,28297,17147,21571,17404,15510,16063,16559,16638,13734,9237,10063,9128,7234,9039,8200,9218,6438,8230,6451,6862,4279
2005,228017,115550,76178,44936,49043,47045,39023,35111,32283,29606,19062,23148,18625,17769,17705,19101,17843,14921,10243,10350,9372,7454,9686,8689,9640,7320,9058,7102,7108,4675
2006,249233,124142,83173,49441,53199,51586,42653,37155,35624,32894,20783,24632,20829,19731,18749,21396,19590,16446,11550,11160,10288,7939,10536,9893,10691,8306,9606,7613,7514,5354
2007,257546,131753,84718,54158,56043,53689,44490,37151,35758,34538,22388,25560,22995,21273,20537,23416,20671,17073,12390,11147,10470,8225,10921,10178,10756,9062,10052,7767,7776,6159
2008,275230,143587,93161,59360,61221,58041,49271,38530,38609,37339,26148,27906,25199,23933,21274,25751,21987,18862,13525,11696,11360,8653,11717,10891,11049,10130,10486,8609,8487,6621
2009,293778,164349,98798,68661,68994,61230,53957,41194,41682,40386,31054,31593,31317,28942,25507,27852,23818,20334,14783,12209,11517,9495,12684,11923,11523,11995,11476,9382,8948,7200
2010,309779,173980,101876,75458,72197,62834,64588,41842,42731,44893,33693,32346,34079,31664,27586,30503,24958,20846,15684,12707,12073,10944,13548,12824,11949,13016,12279,10097,9268,8017
2011,324195,174136,104802,78893,71584,67046,63044,43665,44379,48213,35592,32858,32302,32140,26882,32411,26516,21954,16670,13148,12644,11782,13901,12878,12064,13826,12871,10362,9138,8918
2012,330114,180230,107526,84754,73589,68904,65927,43882,45116,50535,40544,34098,34435,35207,27211,33104,26875,23382,18841,13359,13199,12252,14404,13451,12539,14486,12915,10887,10200,9619
2013,340743,188341,110536,89468,76126,73326,72198,45188,46297,52988,45519,35068,35827,38419,28686,33641,27654,25423,20223,13843,13593,12914,14993,14146,13184,15801,13495,11178,9852,10301
2014,346737,193208,113155,93536,77897,73485,72880,45285,46949,54067,49559,36793,38386,41573,29342,32090,27407,24968,21181,14109,14166,13087,14788,14749,13061,17601,13640,11618,10482,10872
2015,343618,190493,113197,94373,77683,72350,75368,44959,46914,55135,52354,35821,37404,41012,28735,29218,26528,25241,21736,13751,14310,13270,14322,14282,13010,19131,13998,11420,9484,11189
2016,335101,179817,112530,91513,78409,71539,74571,43794,46247,54599,54279,38156,35483,39860,27113,26554,24733,23705,21925,13052,13913,12934,14068,14409,12297,19046,14329,11453,9142,11532
