pub_year,1312 - Molecular Biology,1110 - Plant Science,1311 - Genetics,1106 - Food Science,"1105 - Ecology, Evolution, Behavior and Systematics"
1975,58914,25449,22117,8961,14902
1976,58905,26607,22572,8774,15406
1977,61718,28259,23696,9384,16219
1978,65249,29490,24634,9821,16758
1979,67557,30933,25424,10196,17836
1980,74655,54970,30211,14828,23699
1981,75061,34511,26830,11104,19171
1982,78825,36121,27915,11504,19253
1983,80765,37565,28070,12008,20115
1984,85501,40181,29362,12201,21426
1985,89870,40182,30817,12930,21959
1986,93552,43260,31943,13484,23341
1987,97935,43708,33525,13469,23401
1988,101572,46371,34417,14134,23779
1989,106234,47782,36535,14697,24114
1990,117662,72438,42328,20565,31437
1991,114876,51025,38874,15992,25659
1992,120058,56757,39420,17048,26498
1993,123146,59310,40489,18485,27576
1994,130091,62942,42954,19182,28613
1995,135693,64734,44842,20292,29133
1996,144637,67944,47789,21827,31019
1997,146897,68427,48728,22478,31102
1998,152466,72786,50718,25000,32888
1999,156160,73764,51816,25889,33150
2000,172743,101838,60691,32665,41656
2001,174567,88407,59586,30604,38284
2002,186185,94224,62451,34887,40905
2003,201534,98533,66860,37377,42751
2004,219267,107460,72821,41093,45686
2005,228017,115550,76178,44936,49043
2006,249233,124142,83173,49441,53199
2007,257546,131753,84718,54158,56043
2008,275230,143587,93161,59360,61221
2009,293778,164349,98798,68661,68994
2010,309779,173980,101876,75458,72197
2011,324195,174136,104802,78893,71584
2012,330114,180230,107526,84754,73589
2013,340743,188341,110536,89468,76126
2014,346737,193208,113155,93536,77897
2015,343618,190493,113197,94373,77683
2016,335101,179817,112530,91513,78409
2017,325460,181616,108948,92669,73923
2018,327765,187164,111404,96200,71996
2019,341123,192568,115025,102415,72689
2020,346939,200491,115035,106593,73487
2021,344903,194675,113685,104517,69233
2022,340156,183338,106066,96739,60105
2023,330185,182728,106274,97025,58657
2024,342320,195249,111391,101565,62361
