node_index,w
0.000000,9.228641
1.000000,10.027740
2.000000,9.009259
3.000000,7.840867
4.000000,10.579923
5.000000,10.413941
6.000000,8.767208
7.000000,7.320195
8.000000,10.212453
9.000000,10.746225
10.000000,9.086617
11.000000,6.577757
12.000000,8.660984
13.000000,7.527409
14.000000,9.016119
15.000000,9.309262
16.000000,9.240684
17.000000,8.009999
18.000000,6.817508
19.000000,7.909071
20.000000,9.663169
21.000000,11.034581
22.000000,7.702742
23.000000,8.093932
24.000000,5.225995
25.000000,6.611034
26.000000,9.664955
27.000000,8.004624
28.000000,8.625886
29.000000,6.979650
30.000000,8.109446
31.000000,7.585503
32.000000,9.687290
33.000000,9.277993
34.000000,7.781936
35.000000,8.031609
36.000000,8.654029
37.000000,7.648132
38.000000,3.587767
39.000000,7.144779
40.000000,8.629496
41.000000,7.084603
